carrera,carrera_grupo,Carrera_normalizada
Abogado,Juridicas,Abogacia
Abogado - Ciclo de Complementacion Curricular,Juridicas,Abogacia
Abogado - MD,Juridicas,Abogacia
Abogado Especialista en Administración de Justicia,Juridicas,Abogacia
Abogado especialista en Asesoramiento de Empresas,Juridicas,Abogacia
Abogado Especialista en Asesoria Juridica de Empresas,Juridicas,Abogacia
Abogado especialista en Derecho Administrativo Economico,Juridicas,Abogacia
Abogado especialista en Derecho Ambiental,Juridicas,Abogacia
Abogado especialista en Derecho de Alta Tecnologia,Juridicas,Abogacia
Abogado especialista en Derecho Penal,Juridicas,Abogacia
Abogado especialista en Derecho Procesal,Juridicas,Abogacia
Abogado Especialista en Derecho Tributarío,Juridicas,Abogacia
Abogado especialista en Magistratura,Juridicas,Abogacia
Abogado especializado para la Magistratura,Juridicas,Abogacia
Abogado/a,Juridicas,Abogacia
Bachiller Universitaria -título intermedio de la carrera de Abogacia-,Juridicas,Abogacia
CBC - Abogado,Juridicas,Abogacia
Escribano - Ciclo de Complementacion Curricular,Juridicas,Escribania
Especialista en Abogacia del Estado,Juridicas,Abogacia
Especialista en Derecho Constitucional,Juridicas,Abogacia
Magister en Abogacia del Estado,Juridicas,Abogacia
Magister en Derecho Empresarío Economico,Juridicas,Abogacia
Licenciatura en Accidentologia Vial,Juridicas,Seguridad
Licenciatura en Accidentologia y Prevencion Vial,Juridicas,Seguridad
Licenciatura en Gestión de Siniestros,Juridicas,Seguridad
Licenciatura en Proteccion Civil y Emergencias,Juridicas,Seguridad
Licenciatura en Proteccion Civil y Emergencias - MD,Juridicas,Seguridad
Licenciatura en Seguridad Ciudadana,Juridicas,Seguridad
Licenciatura en Seguridad Ciudadana - Ciclo de Licenciatura,Juridicas,Seguridad
Licenciatura en Seguridad Publica,Juridicas,Seguridad
Licenciatura en Seguridad Publica - Ciclo de Licenciatura,Juridicas,Seguridad
Licenciatura en Sistema de Proteccion Contra Siniestros,Juridicas,Seguridad
Maestria en Seguridad Publica,Juridicas,Seguridad
Magister en Aplicaciones Espaciales de Alerta y Respuesta Temprana a Emergencias,Juridicas,Seguridad
Perito en Accidentologia,Juridicas,Seguridad
Tecnicatura en Accidentologia Vial,Juridicas,Seguridad
Tecnicatura en Proteccion Civil y Emergencias,Juridicas,Seguridad
Tecnicatura en Proteccion Civil y Emergencias - MD,Juridicas,Seguridad
Tecnicatura en Seguridad Publica,Juridicas,Seguridad
Tecnicatura Universitaria en Emergencias Sanitarias y Desastres,Juridicas,Seguridad
Tecnicatura Universitaria en Proteccion Civil y Emergencias,Juridicas,Seguridad
Tecnicatura Universitaria en Proteccion de Incendios,Juridicas,Seguridad
Tecnicatura Universitaria en Seguridad Publica,Juridicas,Seguridad
Tecnicatura Universitaria en Seguridad Publica y Ciudadana con Orientación en Criminalistica,Juridicas,Seguridad
Tecnicatura Universitaria en Seguridad Publica y Ciudadana con Orientación en Siniestros,Juridicas,Seguridad
Tecnicatura Universitaria en Seguridad Publica y Ciudadana con Orientación en Tecnologias de la Información y Comunicaciones Policiale,Juridicas,Seguridad
Especialista en Deporte y Actividad Fisica para la Salud,Deporte,Actividad Fisica y Deportes
Especialista en Entrenamiento de Deporte Social,Deporte,Actividad Fisica y Deportes
Especialista en Programación y Evaluacion del Ejercicio,Deporte,Actividad Fisica y Deportes
Licenciatura en Actividad Fisica,Deporte,Actividad Fisica y Deportes
Licenciatura en Actividad Fisica - Ciclo de Licenciatura,Deporte,Actividad Fisica y Deportes
Licenciatura en Actividad Fisica y Deporte,Deporte,Actividad Fisica y Deportes
Licenciatura en Actividad Fisica y Deporte - Ciclo de Licenciatura,Deporte,Actividad Fisica y Deportes
Licenciatura en Actividad Fisica y Deportiva,Deporte,Actividad Fisica y Deportes
Licenciatura en Actividad Fisica y Deportiva - Ciclo de Licenciatura,Deporte,Actividad Fisica y Deportes
Licenciatura en Alto Rendimiento Deportivo - Ciclo de Licenciatura,Deporte,Actividad Fisica y Deportes
Licenciatura en Enseñanza de las Ciencias,Humanidades,Educacion
Licenciatura en Tiempo Libre para el Deporte y el Turismo - Ciclo de Licenciatura,Deporte,Actividad Fisica y Deportes
Magister en Actividad Fisica y Calidad de Vida,Deporte,Actividad Fisica y Deportes
Magister en Deporte,Deporte,Actividad Fisica y Deportes
Magister en Diseño y Gestión de Programas de Actividad Fisica para la Salud,Deporte,Actividad Fisica y Deportes
Tecnicatura Deportivo,Deporte,Actividad Fisica y Deportes
Tecnicatura Deportivo en Box,Deporte,Actividad Fisica y Deportes
Tecnicatura Deportivo en Judo,Deporte,Actividad Fisica y Deportes
Tecnicatura Deportivo en Karate,Deporte,Actividad Fisica y Deportes
Tecnicatura Deportivo en Taekwondo,Deporte,Actividad Fisica y Deportes
Tecnicatura en Deportes,Deporte,Actividad Fisica y Deportes
Tecnicatura Universitaria en Yoga,Deporte,Actividad Fisica y Deportes
Actuarío,Economicas,Actuariales
Actuarío (Administración),Economicas,Actuariales
Actuarío (Economia),Economicas,Actuariales
Ciclo Actuarío,Economicas,Actuariales
Especialista en Tecnicas Actuariales de la Seguridad Social,Economicas,Actuariales
Analista Administrativo Agropecuarío,Economicas,Actuariales
Analista en Administración Agraria,Economicas,Administracion Agraria
Diplomado Superíor en Planificacion y Proyectos de Inversion Agraríos y Rurales,Economicas,Administracion Agraria
Especialista en Administración de la Educación,Economicas,Administracion Agraria
Especialista en Agroecologia,Economicas,Administracion Agraria
Especialista en Agroeconomia,Economicas,Administracion Agraria
Especialista en Agronegocios y Alimentos,Economicas,Administracion Agraria
Especialista en Alta Direccion de Agronegocios y Alimentos,Economicas,Administracion Agraria
Especialista en Gerenciamiento de Empresas Vitivinicolas,Economicas,Administracion Agraria
Especialista en Gestión de la Empresa Agropecuaria,Economicas,Administracion Agraria
Especialista en Gestión de la Industria Agroalimentaria,Economicas,Administracion Agraria
Especialista en Politicas Agroalimentarias,Economicas,Administracion Agraria
Especialista en Produccion Avicola,Economicas,Administracion Agraria
Licenciatura en Administración Agraria - MD,Economicas,Administracion Agraria
Licenciatura en Administración Agropecuaria,Economicas,Administracion Agraria
Licenciatura en Administración de Agronegocios,Economicas,Administracion Agraria
Licenciatura en Administración de Empresas Agropecuarias,Economicas,Administracion Agraria
Licenciatura en Administración de Negocios Agropecuaríos,Economicas,Administracion Agraria
Licenciatura en Administración Rural,Economicas,Administracion Agraria
