anio,carrera_grupo,carrera_titulo_nivel,Modalidad,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2011,Arquitectura y Urbanismo,Grado,Presencial,58835.0,30496.0,28339.0,9082.0,4524.0,4558.0,2964.0,1368.0,1596.0,0.5675859720803541,0.6153638450114757,0.610787317991548
2011,Arquitectura y Urbanismo,Posgrado,Presencial,1268.0,547.0,721.0,599.0,282.0,317.0,68.0,25.0,43.0,0.6237024221453287,0.5551663747810858,0.4731833910034602
2011,Arquitectura y Urbanismo,Pregrado,Presencial,200.0,174.0,26.0,62.0,53.0,9.0,32.0,19.0,13.0,0.13,0.14516129032258066,0.87
2011,Artes,Grado,Distancia,191.0,49.0,142.0,64.0,17.0,47.0,1.0,0.0,1.0,0.0159443072086234,0.028059701492537312,0.005501908825510891
2011,Artes,Grado,Presencial,48625.0,19982.0,28643.0,11743.0,5262.0,6481.0,984.0,311.0,673.0,255.74107142857142,231.46428571428572,178.41071428571428
2011,Artes,Posgrado,Presencial,1180.0,382.0,798.0,416.0,127.0,289.0,51.0,18.0,33.0,inf,inf,inf
2011,Artes,Pregrado,Distancia,155.0,119.0,36.0,80.0,64.0,16.0,4.0,3.0,1.0,0.18848167539267016,0.25,0.6230366492146597
2011,Artes,Pregrado,Presencial,3019.0,1632.0,1387.0,1002.0,546.0,456.0,378.0,171.0,207.0,0.030866807610993658,0.04420317952694843,0.03631912762879715
2011,Comunicacion,Grado,Distancia,1514.0,639.0,875.0,962.0,462.0,500.0,20.0,3.0,17.0,0.7543103448275862,1.2468827930174564,0.5508620689655173
2011,Comunicacion,Grado,Presencial,97849.0,35090.0,62759.0,19938.0,7668.0,12270.0,4864.0,1449.0,3415.0,404.89677419354837,153.375,226.38709677419354
