anio,carrera_grupo,Carrera_normalizada,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2011,Administracion Publica,Administracion Publica,2962.0,1186.0,1776.0,1098.0,436.0,662.0,321.0,149.0,172.0,0.599594868332208,0.6029143897996357,0.400405131667792
2011,Administracion Publica,Ciencia Politica,16267.0,8010.0,8257.0,3939.0,1859.0,2080.0,784.0,320.0,464.0,0.5075920575398045,0.528052805280528,0.4924079424601955
2011,Administracion Publica,Otros,393.0,184.0,209.0,142.0,64.0,78.0,54.0,27.0,27.0,0.5318066157760815,0.5492957746478874,0.4681933842239186
2011,Administracion Publica,Sociologia,28.0,11.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6071428571428571,,0.39285714285714285
2011,Arquitectura y Urbanismo,Arquitectura,58751.0,30336.0,28415.0,8999.0,4454.0,4545.0,3004.0,1382.0,1622.0,0.48365134210481525,0.5050561173463718,0.5163486578951848
2011,Arquitectura y Urbanismo,Arquitectura Naval,221.0,203.0,18.0,42.0,39.0,3.0,3.0,3.0,0.0,0.08144796380090498,0.07142857142857142,0.918552036199095
2011,Arquitectura y Urbanismo,Arquitectura y Urbanismo,26.0,12.0,14.0,26.0,12.0,14.0,0.0,0.0,0.0,0.5384615384615384,0.5384615384615384,0.46153846153846156
2011,Arquitectura y Urbanismo,Construcciones,155.0,130.0,25.0,56.0,47.0,9.0,10.0,10.0,0.0,0.16129032258064516,0.16071428571428573,0.8387096774193549
2011,Arquitectura y Urbanismo,Planeamiento,829.0,353.0,476.0,483.0,229.0,254.0,29.0,11.0,18.0,0.5741857659831122,0.525879917184265,0.42581423401688784
2011,Arquitectura y Urbanismo,Urbanismo,68.0,30.0,38.0,39.0,16.0,23.0,17.0,6.0,11.0,0.5588235294117647,0.5897435897435898,0.4411764705882353
2011,Artes,Artes Audiovisuales,13836.0,6963.0,6873.0,3448.0,1767.0,1681.0,554.0,270.0,284.0,0.4967476149176062,0.4875290023201856,0.5032523850823938
2011,Artes,Artes Digitales,718.0,530.0,188.0,262.0,187.0,75.0,20.0,15.0,5.0,0.2618384401114206,0.2862595419847328,0.7381615598885793
2011,Artes,Artes Plasticas,5325.0,1239.0,4086.0,1155.0,312.0,843.0,287.0,43.0,244.0,0.7673239436619719,0.7298701298701299,0.23267605633802818
2011,Artes,Artes Visuales,1660.0,473.0,1187.0,633.0,221.0,412.0,29.0,6.0,23.0,0.7150602409638555,0.65086887835703,0.2849397590361446
2011,Artes,Musica,10487.0,6954.0,3533.0,2858.0,1916.0,942.0,252.0,112.0,140.0,0.33689329646228666,0.3296011196641008,0.6631067035377134
2011,Artes,Otros,4066.0,953.0,3113.0,959.0,336.0,623.0,31.0,0.0,31.0,0.765617314313822,0.6496350364963503,0.23438268568617807
