anio,carrera_grupo,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2011,Arquitectura y Urbanismo,60303.0,31217.0,29086.0,9743.0,4859.0,4884.0,3064.0,1412.0,1652.0,0.48233089564366616,0.5012829723904342,0.5176691043563338
2011,Artes,53170.0,22164.0,31006.0,13305.0,6016.0,7289.0,1418.0,503.0,915.0,0.583148391950348,0.5478391582111988,0.41685160804965204
2011,Comunicacion,113474.0,40764.0,72710.0,25473.0,9914.0,15559.0,7104.0,2141.0,4963.0,0.6407635229215504,0.6108035959643544,0.3592364770784497
2011,Diseño,52552.0,18574.0,33978.0,11127.0,3813.0,7314.0,2826.0,820.0,2006.0,0.6465595981123459,0.6573200323537342,0.35344040188765413
2011,Economicas,318405.0,149696.0,168709.0,67062.0,33017.0,34045.0,19059.0,8970.0,10089.0,0.529856629135849,0.507664549223107,0.470143370864151
2011,Educacion,139802.0,32933.0,106869.0,42465.0,10907.0,31558.0,8611.0,1814.0,6797.0,0.7644311240182544,0.7431531849758625,0.2355688759817456
2011,Exactas,23899.0,11515.0,12384.0,5491.0,2516.0,2975.0,1479.0,633.0,846.0,0.5181806770157747,0.541795665634675,0.4818193229842253
2011,"Hoteleria, Gastronomia y Turismo",25790.0,8221.0,17569.0,6917.0,2395.0,4522.0,1513.0,364.0,1149.0,0.6812330360604886,0.6537516264276421,0.3187669639395114
2011,Informatica,163968.0,132685.0,31283.0,37090.0,30891.0,6199.0,7554.0,5702.0,1852.0,0.19078722677595628,0.1671339983823133,0.8092127732240437
2011,Ingenieria,124298.0,101296.0,23002.0,25854.0,20815.0,5039.0,5885.0,4682.0,1203.0,0.1850552703985583,0.19490214280188753,0.8149447296014417
2011,Juridicas,260287.0,113144.0,147143.0,61241.0,28244.0,32997.0,17693.0,7653.0,10040.0,0.56531059945368,0.5388057020623439,0.43468940054632005
2011,Naturales,116241.0,55747.0,60494.0,23826.0,10987.0,12839.0,6192.0,3041.0,3151.0,0.5204187851102451,0.5388651053470999,0.4795812148897549
2011,Otros,50874.0,26997.0,23877.0,19556.0,10396.0,9160.0,4408.0,2296.0,2112.0,0.46933600660455244,0.46839844548987525,0.5306639933954476
2011,Psicologia,132673.0,23941.0,108732.0,28707.0,5840.0,22867.0,7739.0,1036.0,6703.0,0.8195488155088073,0.796565297662591,0.18045118449119263
