anio,institucion_tipo,institucion_nombre,institucion_nombre_new,institucion_nombre_unidad_academica,unidad_academica,unidad_academica_new,carrera_titulo,institucion_gestion,carrera_titulo_nivel,Modalidad,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,reinscriptos_total,reinscriptos_varones,reinscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,carrera,carrera_grupo,Carrera_normalizada
2011,Universidad,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires - Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Ingenieria,Estatal,Grado,Presencial,78.0,65.0,13.0,26.0,23.0,3.0,52.0,42.0,10.0,,,,,,
2011,Universidad,Universidad Nacional de Cordoba,Universidad Nacional de Cordoba,Universidad Nacional de Cordoba - Facultad de Filosofia y Humanidades,Facultad de Filosofia y Humanidades,Facultad de Filosofia y Humanidades,Profesor Superior de Artes Plasticas,Estatal,Grado,Presencial,659.0,159.0,500.0,170.0,53.0,117.0,489.0,106.0,383.0,,,,,,
2012,Universidad,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires - Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Ingenieria,Estatal,Grado,Presencial,71.0,61.0,10.0,28.0,24.0,4.0,43.0,37.0,6.0,,,,,,
2012,Universidad,Universidad Nacional de Cordoba,Universidad Nacional de Cordoba,Universidad Nacional de Cordoba - Facultad de Artes,Facultad de Artes,Facultad de Artes,Profesor Superior de Artes Plasticas,Estatal,Grado,Presencial,472.0,104.0,368.0,143.0,33.0,110.0,329.0,71.0,258.0,,,,,,
2013,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Ciencias Economicas,Estatal,Grado,Presencial,2124.0,1018.0,1106.0,1365.0,662.0,703.0,759.0,356.0,403.0,,,,,,
2013,Universidad,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires - Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Ingenieria,Estatal,Grado,Presencial,62.0,52.0,10.0,21.0,18.0,3.0,41.0,34.0,7.0,,,,,,
2014,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Ciencias Economicas,Estatal,Grado,Presencial,1988.0,1005.0,983.0,1115.0,578.0,537.0,873.0,427.0,446.0,,,,,,
2014,Universidad,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires - Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Ingenieria,Estatal,Grado,Presencial,46.0,38.0,8.0,14.0,12.0,2.0,32.0,26.0,6.0,,,,,,
2015,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Ciencias Economicas,Estatal,Grado,Presencial,2196.0,1104.0,1092.0,1049.0,523.0,526.0,1147.0,581.0,566.0,,,,,,
2015,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas - Extension Aulica Bella Vista,Facultad de Ciencias Economicas - Extension Aulica Bella Vista,Facultad de Ciencias Economicas - Extension Aulica Bella Vista,Ciencias Economicas,Estatal,Grado,Presencial,4.0,1.0,3.0,,,,4.0,1.0,3.0,,,,,,
2015,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas - Extension aulica General Pinedo,Facultad de Ciencias Economicas - Extension aulica General Pinedo,Facultad de Ciencias Economicas - Extension aulica General Pinedo,Ciencias Economicas,Estatal,Grado,Presencial,78.0,42.0,36.0,53.0,30.0,23.0,25.0,12.0,13.0,,,,,,
