universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id_x,departamento_nombre_x,municipio_id_x,municipio_nombre_x,provincia_id_x,provincia_nombre_x,latitud_x,longitud_x,departamento_id_y,departamento_nombre_y,municipio_id_y,municipio_nombre_y,provincia_id_y,provincia_nombre_y,latitud_y,longitud_y
Escuela Universitaria de Teologia,Escuela Universitaria de Teologia,Pasaje Catedral 1750,,"-36.4494181,-57.7686044",,,,,,,,,,,,,,,,,,,,,,-36.4494181,-57.7686044,6238.0,Dolores,60238.0,Dolores,6.0,Buenos Aires,-36.4494181,-57.7686044,06238,Dolores,060238,Dolores,06,Buenos Aires,-36.4494181,-57.7686044
Facultad Latinoamericana de Ciencias Sociales,Facultad Latinoamericana de Ciencias Sociales,Tucuman 1966,,"-34.6021735,-58.3972997",,,,,,,,,,,,,,,,,,,,,,-34.6021735,-58.3972997,2021.0,Comuna 3,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6021735,-58.3972997,02021,Comuna 3,,,02,Ciudad Autónoma de Buenos Aires,-34.6021735,-58.3972997
Instituto Tecnologico de Buenos Aires,Instituto Tecnologico de Buenos Aires,Av. Eduardo Madero 399,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Eduardo Madero 399&provincia=2,"-34.6028340446427,-58.368183272295",,,,,,,,,,,,,,,,,,,,,,-34.6028340446427,-58.368183272295,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6028340446427,-58.368183272295,02007,Comuna 1,,,02,Ciudad Autónoma de Buenos Aires,-34.6028340446427,-58.368183272295
Instituto Universitario Aeronautico,Instituto Universitario Aeronautico,Av. Fuerza Aerea Argentina 6500,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Fuerza Aerea Argentina 6500&provincia=14,"-31.4337174,-64.2779779",,,,,,,,,,,,,,,,,,,,,,-31.4337174,-64.2779779,14014.0,Capital,140077.0,Cordoba,14.0,Cordoba,-31.4337174,-64.2779779,14014,Capital,140077,Córdoba,14,Córdoba,-31.4337174,-64.2779779
Instituto Universitario CEMIC,Instituto Universitario CEMIC,Valdenegro 4337,,"-34.5547176,-58.4972877",,,,,,,,,,,,,,,,,,,,,,-34.5547176,-58.4972877,2084.0,Comuna 12,,,2.0,Ciudad Autonoma de Buenos Aires,-34.554717600000004,-58.4972877,02084,Comuna 12,,,02,Ciudad Autónoma de Buenos Aires,-34.5547176,-58.4972877
Instituto Universitario de Ciencias Biomedicas de Cordoba,Instituto Universitario de Ciencias Biomedicas de Cordoba,Naciones Unidas 400-440,,"-31.4421202,-64.2033758",,,,,,,,,,,,,,,,,,,,,,-31.4421202,-64.2033758,14014.0,Capital,140077.0,Cordoba,14.0,Cordoba,-31.442120199999998,-64.20337579999999,14014,Capital,140077,Córdoba,14,Córdoba,-31.4421202,-64.2033758
Instituto Universitario de Ciencias de la Salud de la Fundacion Barcelo,Instituto Universitario de Ciencias de la Salud de la Fundacion Barcelo,Av. Gral. Las Heras 1907,,"-34.5951617,-58.4021427",,,,,,,,,,,,,,,,,,,,,,-34.5951617,-58.4021427,2014.0,Comuna 2,,,2.0,Ciudad Autonoma de Buenos Aires,-34.595161700000006,-58.402142700000006,02014,Comuna 2,,,02,Ciudad Autónoma de Buenos Aires,-34.5951617,-58.4021427
Instituto Universitario de Gendarmeria Nacional,Instituto Universitario de Gendarmeria Nacional,Av. Paseo Colon 533,,"-34.6142528,-58.371724",,,,,,,,,,,,,,,,,,,,,,-34.6142528,-58.371724,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.614252799999996,-58.371724,02007,Comuna 1,,,02,Ciudad Autónoma de Buenos Aires,-34.6142528,-58.371724
Instituto Universitario de la Policia Federal Argentina,Instituto Universitario de la Policia Federal Argentina,Rosario 532,,"-34.6196133,-58.4382653",,,,,,,,,,,,,,,,,,,,,,-34.6196133,-58.4382653,2042.0,Comuna 6,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6196133,-58.43826529999999,02042,Comuna 6,,,02,Ciudad Autónoma de Buenos Aires,-34.6196133,-58.4382653
Instituto Universitario de Salud Mental de la Asociacion Psicoanalitica de Buenos Aires,Instituto Universitario de Salud Mental de la Asociacion Psicoanalitica de Buenos Aires,Baez 248,,"-34.567895,-58.4361568",,,,,,,,,,,,,,,,,,,,,,-34.567895,-58.4361568,2098.0,Comuna 14,,,2.0,Ciudad Autonoma de Buenos Aires,-34.567895,-58.4361568,02098,Comuna 14,,,02,Ciudad Autónoma de Buenos Aires,-34.567895,-58.4361568
Instituto Universitario de Seguridad Maritima,Instituto Universitario de Seguridad Maritima,Av. Corrientes 345,,"-34.6030978,-58.3739408",,,,,,,,,,,,,,,,,,,,,,-34.6030978,-58.3739408,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.60309779999999,-58.37394079999999,02007,Comuna 1,,,02,Ciudad Autónoma de Buenos Aires,-34.6030978,-58.3739408
"Instituto Universitario del Ejercito ""Mayor Francisco Romero""","Instituto Universitario del Ejercito ""Mayor Francisco Romero""",Av. Cabildo 65,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Cabildo 65&provincia=2,"-34.57439170160686,-58.43650022052455",,,,,,,,,,,,,,,,,,,,,,-34.57439170160686,-58.43650022052455,2098.0,Comuna 14,,,2.0,Ciudad Autonoma de Buenos Aires,-34.5743917016069,-58.4365002205246,02098,Comuna 14,,,02,Ciudad Autónoma de Buenos Aires,-34.57439170160686,-58.43650022052455
