universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id_x,departamento_nombre_x,municipio_id_x,municipio_nombre_x,provincia_id_x,provincia_nombre_x,latitud_x,longitud_x,departamento_id_y,departamento_nombre_y,municipio_id_y,municipio_nombre_y,provincia_id_y,provincia_nombre_y,latitud_y,longitud_y,carrera_grupo,carrera_titulo
Escuela Universitaria de Teologia,Escuela Universitaria de Teologia,Pasaje Catedral 1750,,"-36.4494181,-57.7686044",,,,,,,,,,,,,,,,,,,,,,-36.4494181,-57.7686044,6238.0,Dolores,60238.0,Dolores,6.0,Buenos Aires,-36.4494181,-57.7686044,6238.0,Dolores,60238.0,Dolores,6.0,Buenos Aires,-36.4494181,-57.7686044,Educacion,"Profesor en Teologia,Profesor de Catequesis"
Facultad Latinoamericana de Ciencias Sociales,Facultad Latinoamericana de Ciencias Sociales,Tucuman 1966,,"-34.6021735,-58.3972997",,,,,,,,,,,,,,,,,,,,,,-34.6021735,-58.3972997,2021.0,Comuna 3,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6021735,-58.3972997,2021.0,Comuna 3,,,2.0,Ciudad Autónoma de Buenos Aires,-34.6021735,-58.3972997,"Sociales,Juridicas,Otros,Economicas,Educacion,Naturales,Psicologia","Diplomado Superior en Desarrollo, Politicas Publicas e Integracion Regional (titulo Propio) - MD,Diplomado Superior en Ciencias Sociales con mencion en Educacion y Nuevas Tecnologias (Titulo Propio) - MD,Diplomado Superior en Desarrollo Humano (titulo Propio) - MD,Especialista en Desarrollo Humano - MD,Magister en Estudios Sociales Agrarios,Diplomado Superior en Gestion y Control de Politicas Publicas (titulo Propio),Especialista en Gestion y Conduccion del Sistema Educativo y sus Instituciones - MD,Diplomado Superior en Ciencias Sociales con mencion en Curriculum y Practicas Escolares (Titulo Propio) - MD,Especialista en Ciencia Politica y Sociologia,Diplomado Superior en Conflictos Ambientales y Planificacion Participativa (titulo Propio) - MD,Magister en Propiedad Intelectual,Diplomado Superior en Ciencias Sociales con mencion en Genero y Politicas Publicas (Titulo Propio) - MD,Magister en Ciencia Politica y Sociologia,Diplomado Superior en Organizaciones de la Sociedad Civil (titulo Propio) - MD,Especialista en Ciencias Sociales con mencion en Lectura, Escritura y Educacion - MD,Magister en Ciencias Sociales con Mencion en Educacion,Magister en Antropologia Social,Diplomado Superior en Estudios Sociales Agrarios (titulo Propio),Diplomado Superior en Bioetica (titulo Propio),Diplomado Superior en Pedagogia de las Diferencias (titulo Propio) - MD,Diplomado Superior en Bioetica (titulo Propio) - MD,Magister en Ciencias Sociales con mencion en Educacion,Diplomado Superior en Gestion y Control de Politicas Publicas (Titulo Propio) - MD,Diplomado Superior en Infancia, Educacion y Pedagogia (Titulo Propio) - MD,Diplomado Superior en Ciencias Sociales con mencion en Lectura, Escritura y Educacion (titulo Propio) - MD,Diplomado Superior en Ciencias Sociales con mencion en Constructivismo y Educacion (Titulo Propio) - MD,Diplomado Superior en Enseñanza de las Ciencias Sociales y de la Historia (titulo Propio) - MD,Especialista en Constructivismo y Educacion - MD,Magister en Politicas Publicas para el Desarrollo con Inclusion Social,Magister en Genero, Sociedad y Politicas - Modalidad a Distancia,Diplomado Superior en Ciencias Sociales con mencion en Lectura, Escritura y Educacion (Titulo Propio) - MD,Diplomado Superior en Ciencia Politica y Sociologia (titulo Propio),Magister en Procesos Cognitivos y Aprendizaje,Diplomado Superior en Antropologia Social y Politica (Titulo Propio) - MD,Magister en Economia Politica con mencion en Economia Argentina,Diplomado Superior en Ciencias Sociales con mencion en Constructivismo y Educacion (titulo Propio) - MD,Especialista en Politicas Educativas,Especialista en Educacion y Nuevas Tecnologias - MD,Diplomado Superior en Gestion y Control de Politicas Publicas (Titulo Propio),Diplomado Superior en Conflictos Ambientales y Planificacion Participativa (Titulo Propio) - MD,Diplomado Superior en Estudios y Politicas de Juventud en America Latina (titulo Propio) - MD,Magister en Relaciones Internacionales,Diplomado Superior en Desarrollo Rural (Titulo Propio) - MD,Magister en Relaciones y Negociaciones Internacionales,Diplomado Superior en Bioetica (Titulo Propio) - MD,Diplomado Superior en Relaciones del Trabajo y Sindicalismo - Titulo Propio - MD,Diplomado Superior en Pedagogia de las Diferencias (Titulo Propio) - MD,Diplomado Superior en Ciencias Sociales con mencion en Curriculum y Practicas Escolares (titulo Propio) - MD,Diplomado Superior en Educacion, Imagenes y Medios (Titulo Propio) - MD,Diplomado Superior en Derecho y Economia del Cambio Climatico (Tïtulo Propio),Diplomado Superior en Estudios y Politicas de Juventud en America Latina (Titulo Propio) - MD,Diplomado Superior en Derecho y Economia del Cambio Climatico (Titulo Propio) - Modalidad a Distancia,Especialista en Relaciones y Negociaciones Internacionales,Diplomado Superior en Desarrollo Humano (Titulo Propio) - MD,Diplomado Superior en Ciencias Sociales con mencion en Psicoanalisis y Practicas Socio-Educativas (Titulo Propio) - MD,Diplomado Superior en Ciencias Sociales con mencion en Gestion de las Instituciones Educativas (titulo Propio) - MD,Magister en Psicologia Cognitiva y Aprendizaje,Magister en Antropologia Social y Politica,Diplomado Superior en Desarrollo Local y Economia Social (titulo Propio),Diplomado Superior en Desarrollo, Politicas Publicas e Integracion Regional (Titulo Propio) - MD,Diplomado Superior en Desarrollo Local, Territorial y Economia Social (titulo Propio) - MD,Diplomado Superior en Ciencias Sociales con mencion en Gestion de las Instituciones Educativas (Titulo Propio) - MD,Diplomado Superior en Antropologia Social y Politica (titulo Propio) - MD,Especialista en Derecho y Economia del Cambio Climatico,Diplomado Superior en Desarrollo Rural (titulo Propio) - MD,Diplomado Superior en Educacion, Imagenes y Medios (titulo Propio) - MD,Diplomado Superior en Gestion y Control de Politicas Publicas (titulo Propio) - MD,Magister en Diseño y Gestion de Programas Sociales,Diplomado Superior en Organizaciones de la Sociedad Civil (Titulo Propio) - MD,Diplomado Superior en Bioetica (Titulo Propio),Diplomado Superior en Relaciones del Trabajo y Sindicalismo - titulo Propio - MD,Magister en Desarrollo Humano - MD,Especialista en Economia Politica con mencion en Economia Argentina,Diplomado Superior en Desarrollo Local, Territorial y Economia Social (Titulo Propio),Diplomado Superior en Enseñanza de las Ciencias (Titulo Propio) - MD,Especialista en Bioetica,Diplomado Superior en Desarrollo Local, Territorial y Economia Social (titulo Propio),Diplomado Superior en Infancia, Educacion y Pedagogia (titulo Propio) - MD,Diplomado Superior en Necesidades Educativas, Practicas Inclusivas y Trastornos del Desarrollo (Titulo Propio) - MD,Diplomado Superior en Ciencias Sociales con mencion en Genero y Politicas Publicas (titulo Propio) - MD,Diplomado Superior Interdisciplinario en Cuidados Paliativos (Titulo Propio),Diplomado Superior en Enseñanza de las Ciencias Sociales y de la Historia (Titulo Propio) - MD,Diplomado Superior en Enseñanza de las Ciencias (titulo Propio) - MD,Doctor en Ciencias Sociales,Especialista en Ciencias Sociales con mencion en Curriculum y Practicas Escolares - MD,Diplomado Superior en Desarrollo Local, Territorial y Economia Social (Titulo Propio) - MD,Diplomado Superior en Necesidades Educativas, Practicas Inclusivas y Trastornos del Desarrollo (titulo Propio) - MD,Especialista en Politica, Evaluacion y Gerencia Social,Diplomado Superior en Ciencias Sociales con mencion en Psicoanalisis y Practicas Socio-Educativas (titulo Propio) - MD,Diplomado Superior en Ciencia Politica y Sociologia (Titulo Propio),Diplomado Superior en Estudios Sociales Agrarios (Titulo Propio),Diplomado Superior en Ciencias Sociales con mencion en Educacion y Nuevas Tecnologias (titulo Propio) - MD"
Instituto Tecnologico de Buenos Aires,Instituto Tecnologico de Buenos Aires,Av. Eduardo Madero 399,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Eduardo Madero 399&provincia=2,"-34.6028340446427,-58.368183272295",,,,,,,,,,,,,,,,,,,,,,-34.6028340446427,-58.368183272295,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6028340446427,-58.368183272295,2007.0,Comuna 1,,,2.0,Ciudad Autónoma de Buenos Aires,-34.6028340446427,-58.368183272295,"Otros,Economicas,Informatica,Naturales,Ingenieria","Especialista en Produccion de Petroleo y Gas,Magister en Energia y Ambiente,Licenciatura en Analitica Empresarial y Social,Magister en Direccion Estrategica y Tecnologica,Ingenieria en Petroleo,Doctor en Ingenieria,Especialista en Telecomunicaciones,Especialista en Terminacion de Pozos en Reservorios no Convencionales,Ingenieria Mecanica,Especialista en Gestion de las Telecomunicaciones,Ingenieria Electronica,Especialista en Economia del Petroleo y del Gas Natural,Magister en Ingenieria en Software,Ingenieria Electrica,Doctor en Ingenieria Informatica,Especialista en Ciencia de Datos,BioIngenieria,Especialista en Administracion del Mercado Electrica,Ingenieria en Informatica,Especialista en Gestion de Logistica Integrada,Magister en Ingenieria de las Telecomunicaciones,Especialista en Gestion de las Telecomunicaciones - MD,Ingenieria Quimica,Magister en Ingenieria de Software,Especialista en Gestion Ambiental,Magister en Gestion Ambiental,Ingenieria Naval,Licenciatura en Administracion y Sistemas,Ingenieria Industrial,Magister en Evaluacion de Proyectos,Especialista en Direccion Estrategica y Tecnologicas"
Instituto Universitario Aeronautico,Instituto Universitario Aeronautico,Av. Fuerza Aerea Argentina 6500,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Fuerza Aerea Argentina 6500&provincia=14,"-31.4337174,-64.2779779",,,,,,,,,,,,,,,,,,,,,,-31.4337174,-64.2779779,14014.0,Capital,140077.0,Cordoba,14.0,Cordoba,-31.4337174,-64.2779779,14014.0,Capital,140077.0,Córdoba,14.0,Córdoba,-31.4337174,-64.2779779,"Sociales,Juridicas,Economicas,Informatica,Ingenieria","Tecnicatura Universitaria en Programacion,Licenciatura en Recursos Humanos - MD,Especialista en Analisis de Inteligencia Estrategica,Licenciatura en Logistica - MD,Ingenieria de Sistemas,Analista de Sistemas - MD,Tecnicatura Universitaria en Recursos Humanos - MD,Ingenieria Electronica,Magister en Ingenieria de Sistemas Embebidos,Especialista en Derecho Aeronautico, Espacial y Aeroportuario,Ingenieria Mecanica Aeronautico,Especialista en Seguridad Informatica,Especialista en Sistemas Embebidos,Licenciatura en Administracion - MD,Tecnicatura Universitaria en Telecomunicaciones,Ingenieria Aeronautico,Ingenieria en Informatica,Ingenieria en Telecomunicaciones,Tecnicatura Universitaria en Vigilancia y Control Aereo,Ingenieria de Sistemas - MD,Tecnicatura Universitaria en Logistica - MD,Contador Publico - MD,Analista de Sistemas,Analista de Sistemas Informaticos,Tecnicatura Universitaria en Administracion - MD,Licenciatura en Conduccion de recursos aeroespaciales para la defensa"
Instituto Universitario CEMIC,Instituto Universitario CEMIC,Valdenegro 4337,,"-34.5547176,-58.4972877",,,,,,,,,,,,,,,,,,,,,,-34.554717600000004,-58.4972877,2084.0,Comuna 12,,,2.0,Ciudad Autonoma de Buenos Aires,-34.554717600000004,-58.4972877,2084.0,Comuna 12,,,2.0,Ciudad Autónoma de Buenos Aires,-34.554717600000004,-58.4972877,"Educacion,Otros,Salud","Especialista en Oncologia,Especialista en Anatomia Patologica,Especialista en Medicina de Familia,Especialista en Odontologia General,Citotecnologo Universitaria,Especialista en Cirugia General,Especialista en Nefrologia,Medico especialista en Cirugia General,Medico especialista en Genetica,Licenciatura en Enfermeria - Ciclo de Licenciatura,Citotecnologo Universitario,Medico Especialista en Infectologia,Medico,Especialista en Hematologia,Medico especialista en Ginecologia y Obstetricia,Enfermera/o Universitaria/o,Especialista en Pediatria,Medico Especialista en Cirugia,Doctor en Ciencias Medicas,Especialista en Tocoginecologia,Licenciatura en Enfermeria - Ciclo de Complementacion Curricular,Medico Especialista en Ortopedia y Traumatologia,Medico especialista en Anatomia Patologica,Especialista en Docencia Universitaria en Ciencias de la Salud,Enfermero Universitaria,Medico especialista en Medicina Interna,Medico especialista en Diagnostico por Imagenes,Licenciatura en Enfermeria,Especialista en Bioquimica Clinica,Especialista en Genetica Medica,Especialista en Urologia,Licenciatura en Nutricion,Medico especialista en Nefrologia y Medio Interno,Medico especialista en Pediatria,Especialista en Clinica Medica,Especialista en Ortopedia y Traumatologia,Medico especialista en Medicina Familiar,Licenciatura en Terapia Fisica,Medico especialista en Urologia Medica"
Instituto Universitario de Ciencias Biomedicas de Cordoba,Instituto Universitario de Ciencias Biomedicas de Cordoba,Naciones Unidas 400-440,,"-31.4421202,-64.2033758",,,,,,,,,,,,,,,,,,,,,,-31.442120199999998,-64.20337579999999,14014.0,Capital,140077.0,Cordoba,14.0,Cordoba,-31.4421202,-64.20337579999999,14014.0,Capital,140077.0,Córdoba,14.0,Córdoba,-31.442120199999998,-64.20337579999999,Salud,Medico
Instituto Universitario de Ciencias de la Salud de la Fundacion Barcelo,Instituto Universitario de Ciencias de la Salud de la Fundacion Barcelo,Av. Gral. Las Heras 1907,,"-34.5951617,-58.4021427",,,,,,,,,,,,,,,,,,,,,,-34.595161700000006,-58.402142700000006,2014.0,Comuna 2,,,2.0,Ciudad Autonoma de Buenos Aires,-34.59516170000001,-58.40214270000001,2014.0,Comuna 2,,,2.0,Ciudad Autónoma de Buenos Aires,-34.595161700000006,-58.402142700000006,"Informatica,Psicologia,Salud","Analista de Sistemas de Informacion Medica,Licenciatura en Nutricion,Asistente en Psicologia,Tecnicatura en Analisis Clinicos,Licenciatura en Nutricion - MD,Magister en Gerontologia Clinica,Magister en Neuropsicofarmacologia Clinica,Especialista en Administracion de Servicios de la Salud,Medico Legista,Doctor en Ciencias de la Salud,Medico,Licenciatura en Psicologia,Licenciatura en Kinesiologia y Fisiatria,Instrumentador Quirurgico,Medico especialista en Nutricion"
Instituto Universitario de Gendarmeria Nacional,Instituto Universitario de Gendarmeria Nacional,Av. Paseo Colon 533,,"-34.6142528,-58.371724",,,,,,,,,,,,,,,,,,,,,,-34.614252799999996,-58.371724,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6142528,-58.371724,2007.0,Comuna 1,,,2.0,Ciudad Autónoma de Buenos Aires,-34.614252799999996,-58.371724,"Sociales,Juridicas,Otros,Economicas,Informatica,Educacion,Comunicacion","Licenciatura en Gestion y Seguridad de las Tecnologias de la Informacion,Profesor Universitario (en la disciplina correspondiente al titulo de base) - Ciclo de Profesorado,Tecnicatura Universitario en Seguridad Publica y Ciudadana con orientacion en Seguridad Vial,Tecnicatura Universitario en Gestion y Seguridad de las Tecnologias de la Informacion,Licenciatura en Comunicaciones e Informatica,Tecnicatura Universitario en Seguridad Publica,Analista Universitario en Administracion Publica,Licenciatura en Criminalistica - Ciclo de Licenciatura,Tecnicatura Universitario en Seguridad Publica y Ciudadana con Orientacion en Investigacion Criminal,Tecnicatura Universitaria en Seguridad Publica,Licenciatura en Criminalistica,Tecnicatura Universitario en Seguridad Publica y Ciudadana,Tecnicatura Universitario en Seguridad Publica y Ciudadana con orientacion en Gestion de las Comunicaciones,Analista Universitaria en Administracion Publica,Licenciatura en Administracion Publica - Ciclo de Licenciatura,Tecnicatura Universitario en Seguridad Publica y Ciudadana con Orientacion en Administracion Publica,Profesor Universitaria (en la disciplina correspondiente al titulo de base) - Ciclo de Profesorado,Licenciatura en Administracion Publica,Licenciatura en Seguridad Publica - Ciclo de Licenciatura,Tecnicatura Universitaria en Criminalistica,Licenciatura en Seguridad Publica,Tecnicatura Universitario en Criminalistica,Tecnicatura Universitario en Seguridad Publica y Ciudadana con orientacion en Criminalistica,Tecnicatura Universitaria en Gestion y Seguridad de las Tecnologias de la Informacion,Licenciatura en Comunicaciones e Informatica - Ciclo de Licenciatura,Tecnicatura Universitaria en Comunicaciones e Informatica"
Instituto Universitario de la Policia Federal Argentina,Instituto Universitario de la Policia Federal Argentina,Rosario 532,,"-34.6196133,-58.4382653",,,,,,,,,,,,,,,,,,,,,,-34.6196133,-58.43826529999999,2042.0,Comuna 6,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6196133,-58.43826529999999,2042.0,Comuna 6,,,2.0,Ciudad Autónoma de Buenos Aires,-34.6196133,-58.43826529999999,"Sociales,Juridicas,Otros,Informatica,Educacion,Naturales,Psicologia,Ingenieria,Salud","Licenciatura en Seguridad Ciudadana - Ciclo de Licenciatura - MD,Abogado,Licenciatura en Enfermeria - Ciclo de Licenciatura,Tecnicatura Universitario en Seguridad Publica y Ciudadana orientada a la Investigacion Criminal,Perito en Papiloscopia,Abogado - MD,Tecnicatura Universitaria en Seguridad Publica y Ciudadana con Orientacion en Siniestros,Tecnicatura Universitario en Seguridad Publica y Ciudadana con orientacion en Tecnologias de la Informacion y Comunicaciones Policiales,Licenciatura en Seguridad en Tecnologias de la Informacion y Comunicaciones,Licenciatura/a en Investigacion Criminal - Modalidad a Distancia - Ciclo de Licenciatura,Licenciatura en Organizacion y Asistencia de Quirofanos - Ciclo de Licenciatura,Especialista en Docencia Universitaria,Tecnicatura Universitaria en Seguridad Publica y Ciudadana orientado a la Funcion Policial,Tecnicatura Universitaria en Balistica y Armas Portatiles,Licenciatura en Seguridad Ciudadana - Ciclo de Licenciatura,Tecnicatura Universitaria en Proteccion de Incendios,Enfermero Universitario,Especialista en el Analisis de la Escena del Crimen,Tecnicatura Universitaria en Seguridad Publica y Ciudadana con Orientacion en Tecnologias de la Informacion y Comunicaciones Policiale,Licenciatura en Gestion de Siniestros - Ciclo de Complementacion Curricular - MD,Magister en Medicina Legal,Licenciatura en Criminalistica,Licenciatura en Sistema de Proteccion Contra Siniestros,Tecnicatura Universitaria en Seguridad Publica y Ciudadana orientada a la Investigacion Criminal,Tecnicatura Universitario en Seguridad Ciudadana,Enfermero Universitaria,Licenciatura en Organizacion y Asistencia de Quirofanos,Licenciatura en Enfermeria,Licenciatura en Ciencias Penales y Sociales,Licenciatura en Accidentologia y Prevencion Vial,Tecnicatura Universitaria en Seguridad Publica y Ciudadana con Orientacion en Criminalistica,Licenciatura en Seguridad Ciudadana,Tecnicatura en Accidentologia Vial,Instrumentador Quirurgico Profesional,Ingenieria en Gestion de Siniestros y Seguridad Ambiental,Tecnicatura Universitario en Proteccion de Incendios,Tecnicatura Universitario en Seguridad Publica y Ciudadana orientado a la Funcion Policial,Tecnicatura Universitario en Balistica y Armas Portatiles,Licenciatura en Trabajo Social,Ingenieria en Telecomunicaciones,Licenciatura en Gestion de Siniestros,Licenciatura en Tecnologias de la Informacion y Comunicaciones para Seguridad Publica-Ciclo de Comp Curricular-MD,Tecnicatura Universitario en Seguridad Publica y Ciudadana con orientacion en Criminalistica,Tecnicatura Universitaria en Seguridad Ciudadana,Caligrafo Publico Nacional,Especialista en Investigacion Cientifica del Delito,Licenciatura en Relaciones Internacionales,Maestria en Seguridad Publica,Especialista en Medicina Legal,Tecnicatura Universitario en Seguridad Publica y Ciudadana con orientacion en Siniestros,Licenciatura en Seguridad"
Instituto Universitario de Salud Mental de la Asociacion Psicoanalitica de Buenos Aires,Instituto Universitario de Salud Mental de la Asociacion Psicoanalitica de Buenos Aires,Baez 248,,"-34.567895,-58.4361568",,,,,,,,,,,,,,,,,,,,,,-34.567895,-58.4361568,2098.0,Comuna 14,,,2.0,Ciudad Autonoma de Buenos Aires,-34.567895,-58.4361568,2098.0,Comuna 14,,,2.0,Ciudad Autónoma de Buenos Aires,-34.567895,-58.4361568,"Psicologia,Salud","Especialista en Psicoanalisis de Niños y Adolescentes,Magister en Cultura y Salud Mental,Especialista en Psicologia Clinica de Niños y Adolescentes,Especialista en Psicopatologia y Salud Mental,Especialista en Psicoanalisis,Magister en Psicopatologia y Salud Mental,Magister en Familia y Pareja"
